borough,location_i,objectid,shape_area,shape_leng,zone,longitude,latitude
EWR,1.0,1.0,0.0007823067885,0.116357453189,Newark Airport,-74.17153349999995,40.689483499999895
Queens,2.0,2.0,0.00486634037837,0.43346966679,Jamaica Bay,-73.82247803552738,40.61082353463823
Bronx,3.0,3.0,0.000314414156821,0.0843411059012,Allerton/Pelham Gardens,-73.84495310749989,40.86574730099992
Manhattan,4.0,4.0,0.000111871946192,0.0435665270921,Alphabet City,-73.97772542292921,40.72413692699997
Staten Island,5.0,5.0,0.000497957489363,0.0921464898574,Arden Heights,-74.18755828249994,40.550664064999935
Staten Island,6.0,6.0,0.000606460984581,0.150490542523,Arrochar/Fort Wadsworth,-74.07256563877093,40.59904276221754
Queens,7.0,7.0,0.000389787989274,0.107417171123,Astoria,-73.92030746749995,40.7610828654999
Queens,8.0,8.0,2.6587716279e-05,0.0275906911574,Astoria Park,-73.92312156108176,40.77862509038407
Queens,9.0,9.0,0.000338443803197,0.0997840924705,Auburndale,-73.78651680849993,40.75434276799989
Manhattan,24.0,24.0,6.07235737749e-05,0.0469999619287,Bloomingdale,-73.96552238095356,40.80191568729478
Queens,10.0,10.0,0.000435823818081,0.0998394794152,Baisley Park,-73.78898557749989,40.6782561839999
Brooklyn,11.0,11.0,0.00026452053504,0.0792110389596,Bath Beach,-74.00751040830949,40.60401449106883
Manhattan,12.0,12.0,4.15116236727e-05,0.0366613013579,Battery Park,-74.0157258918405,40.702497062934114
Manhattan,13.0,13.0,0.000149358592917,0.0502813228631,Battery Park City,-74.01589181962237,40.71153468920309
Bronx,18.0,18.0,0.000148850163948,0.0697995498569,Bedford Park,-73.89127428349988,40.86867793799989
Brooklyn,25.0,25.0,0.000124168267356,0.0471458199319,Boerum Hill,-73.98647201599982,40.68571924249989
Brooklyn,14.0,14.0,0.00138177826442,0.175213698053,Bay Ridge,-74.0285213693821,40.62359275570357
Queens,15.0,15.0,0.000925219395547,0.14433622262,Bay Terrace/Fort Totten,-73.78527445765596,40.784888059040995
Brooklyn,22.0,22.0,0.000472062684608,0.126170229196,Bensonhurst West,-73.9950711269999,40.6096815280311
Staten Island,23.0,23.0,0.00219556576201,0.290556028962,Bloomfield/Emerson Hill,-74.16044164396826,40.607450098919145
Queens,16.0,16.0,0.000871889446182,0.141291873771,Bayside,-73.77471369291123,40.76121553799993
Brooklyn,17.0,17.0,0.000322957654799,0.093522632948,Bedford,-73.95068947349995,40.69177696199988
Queens,19.0,19.0,0.000546661094782,0.101824875452,Bellerose,-73.72861067890517,40.73673660794557
Bronx,20.0,20.0,0.000134512633032,0.0514401924362,Belmont,-73.88619042849992,40.85773933999992
Brooklyn,21.0,21.0,0.000380251345507,0.115973569062,Bensonhurst East,-73.9858580212229,40.601994973510216
Brooklyn,26.0,26.0,0.000534039927626,0.12354780707,Borough Park,-73.99012981799996,40.62860035949991
Queens,27.0,27.0,0.00134088762746,0.202508808518,Breezy Point/Fort Tilden/Riis Beach,-73.90170527256132,40.55893992410243
Queens,28.0,28.0,0.000291203927662,0.097960782214,Briarwood/Jamaica Hills,-73.80832597049988,40.7107408159999
Brooklyn,33.0,33.0,0.000147416802448,0.0532702931967,Brooklyn Heights,-73.99602169307268,40.69625694246597
Brooklyn,29.0,29.0,0.000201673837402,0.0714083127733,Brighton Beach,-73.96062421335655,40.582514119365925
Bronx,31.0,31.0,0.000333975927329,0.0964245666516,Bronx Park,-73.8761049054999,40.860015707499954
Bronx,32.0,32.0,0.000150879171971,0.05426721601,Bronxdale,-73.86386018649995,40.86438838349993
Queens,30.0,30.0,0.000145862107626,0.0945097669793,Broad Channel,-73.82479984955917,40.60490930856772
Brooklyn,34.0,34.0,0.000173946146651,0.0657059323545,Brooklyn Navy Yard,-73.97231938410377,40.70250752257607
Brooklyn,35.0,35.0,0.000323825195932,0.085787918592,Brownsville,-73.91259334499993,40.66380131049988
Brooklyn,36.0,36.0,0.000247666139269,0.0870507867063,Bushwick North,-73.9175758074999,40.69897118749988
Brooklyn,37.0,37.0,0.000452062644782,0.142810040466,Bushwick South,-73.92042706849989,40.69629654699988
Queens,38.0,38.0,0.000327392684821,0.0832175685234,Cambria Heights,-73.73676400060572,40.693361363486915
Brooklyn,39.0,39.0,0.00090028293862,0.132369620757,Canarsie,-73.89854748942138,40.638860892692335
Brooklyn,40.0,40.0,0.000108949211644,0.0518506648762,Carroll Gardens,-73.99525822599992,40.6785420594999
Manhattan,41.0,41.0,0.000143093037737,0.052793109453,Central Harlem,-73.95070912799989,40.804176356499916
Manhattan,45.0,45.0,9.13594688556e-05,0.0459068626235,Chinatown,-73.99883418899992,40.712982235837806
